symbol,organ_name
VCG,Tổng Công ty cổ phần Xuất nhập khẩu và Xây dựng Việt Nam
SZB,CTCP Sonadezi Long Bình
SKN,CTCP Nước giải khát Sanna Khánh Hòa
RCL,CTCP Địa ốc Chợ Lớn
QNP,CTCP Cảng Quy Nhơn
HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO
GH3,CTCP Công trình Giao thông Hà Nội
LIX,CTCP Bột Giặt Lix
DPP,CTCP Dược Đồng Nai
BTW,CTCP Cấp nước Bến Thành
VPW,CTCP Cấp thoát nước Số 1 Vĩnh Phúc
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ
VLG,CTCP VIMC Logistics
RBC,CTCP Công nghiệp và Xuất nhập khẩu Cao su
SVN,CTCP Tập đoàn Vexilla Việt Nam
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP
TTB,CTCP TTBGroup
SDK,CTCP Cơ khí Luyện kim
TDW,CTCP Cấp nước Thủ Đức
HAV,CTCP Rượu Hapro
DHG,CTCP Dược Hậu Giang
HVT,CTCP Hóa chất Việt Trì
HBD,CTCP Bao Bì PP Bình Dương
MVN,Tổng Công ty Hàng hải Việt Nam - CTCP
PWS,CTCP Cấp thoát nước Phú Yên
ACS,CTCP Xây lắp Thương mại 2
ATA,CTCP Ntaco
BSQ,CTCP Bia Sài Gòn - Quảng Ngãi
SNZ,Tổng Công ty cổ phần Phát triển Khu Công nghiệp
SAL,CTCP Trục vớt Cứu hộ Việt Nam
HFB,CTCP Công trình Cầu phà Thành phố Hồ Chí Minh
GDA,CTCP Tôn Đông Á
AVG,CTCP Phân bón Quốc tế Âu Việt
DCM,CTCP - Tổng công ty Phân bón Dầu khí Cà Mau
VHG,CTCP Đầu tư Phát triển Việt Trung Nam
DRI,CTCP Đầu tư Cao su Đắk Lắk
IDI,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI
VHC,CTCP Vĩnh Hoàn
CSV,CTCP Hóa chất Cơ bản Miền Nam
EVF,Công ty Tài chính Tổng hợp Cổ phần Điện lực
